"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000060971.20",10.7614290219715,10.5943134515014,10.657308867397,10.5743477997926,10.4800394086493,10.5405982237898,10.3512486196449,10.1383179090432,10.3029915683128,9.89952622944399,9.77151023563361,9.88584148021312
"ENSG00000172936.19",10.9167336359158,10.6970980109414,10.7190927132219,10.8707252271637,10.8694169594646,10.4280765828238,10.2718041389197,9.94450176731358,9.71062222131185,10.3460519634196,10.4770991850599,9.98952727109729
"ENSG00000172939.10",10.5900490377409,10.4524301359664,10.3861984163743,10.1870100906392,10.5690360609413,10.3283127350308,10.4214673708315,10.4535748084487,11.0708557166455,10.739765999606,10.539438941989,11.2412145499257
"ENSG00000093217.12",10.0285680322522,9.8888908385579,9.56864498535692,9.88169865009217,10.1226731243433,9.04740288418993,8.67025302647639,8.60549461293351,8.38961993524404,8.67545393126481,8.80554921881793,8.71601395864328
"ENSG00000229589.1",7.25086305749106,7.6478751590446,7.20180443377868,7.38430777338272,7.18248120712834,7.34068233612362,7.33028907806837,7.15136596995944,6.98710539769969,7.1036261146502,7.0976470472192,7.20594531689404
"ENSG00000114739.15",8.19492555966799,8.42708759579525,8.68871809942083,8.28686880670077,8.36526449053464,8.66516828354544,8.50903196895235,8.38076555403143,8.56496985593304,8.7706048703558,8.51464107887033,8.87732188696025
"ENSG00000157036.14",8.85098765679199,9.00653737291016,8.77229234765687,9.00150070999092,9.0099133718664,8.05720606675112,8.01157408805023,8.07521642137185,8.15785920940818,7.85637045128572,8.10642899698377,7.6339814081389
"ENSG00000114742.15",10.1607590894808,10.4177999470645,10.0693314057576,9.86395970652402,10.039521260518,9.9757402931168,9.85752533025959,9.86312919725427,10.0617742833051,9.93644186675597,9.84590383576509,10.0101492093819
"ENSG00000114745.16",10.7068407655169,10.9779193952355,11.0363958647327,11.1334142455127,11.0360776267171,11.3710520875225,11.0882637617531,10.9653270970451,10.764972878569,10.7203916416837,10.7298554524762,10.4061545468201
"ENSG00000168026.20",7.90616968050282,7.6478751590446,7.72745058315425,8.19475248601044,8.01125652295795,7.73571170391518,7.70219350856371,7.7668693349142,7.38842245089683,7.53410886683066,7.78349293444809,6.87582577767976
"ENSG00000144655.16",8.14303202740528,8.29873273528617,8.24619863309943,8.08856103062676,8.31339027191892,8.24125402342511,8.50080752631495,8.41912311940307,8.42153395711335,8.59735847469233,8.70800628650785,9.44631705429089
"ENSG00000287780.2",7.41705493052358,7.4258611394482,7.1844411495355,7.58892871766885,7.20108336359662,7.29501049275985,7.38550314229832,7.35523421333417,7.26755773002784,7.42859187590787,7.3656038610447,7.20594531689404
"ENSG00000223668.1",6.96905999657525,7.11565882603085,7.16642693065056,6.99383086296099,6.99428849988607,7.1289729747902,6.88071640390873,6.9548424407939,7.24804023108376,6.95014965443926,7.14601775044436,7.13168647461161
"ENSG00000144659.14",9.58669652955602,9.87662396704236,9.51233658707982,10.0464985532605,9.87777199602535,9.70138020717441,9.9047137298343,9.77676317232624,9.66216381168163,9.6470512778935,9.70231507884783,9.69294123457452
"ENSG00000168028.16",12.764287259598,12.5947986844763,12.8456673110435,12.8132944017189,12.6096369837409,13.0402749413695,12.1674058671282,12.2407470116547,12.3458018610843,12.2064316094795,12.2120192313629,12.7429441619332
"ENSG00000170011.15",7.28474275838883,7.27021565168877,7.08606292725229,6.68453643212977,6.88066627135222,7.17101166694579,6.68453643212977,6.68453643212977,7.18470175351004,7.059643519961,7.16833809612531,7.42987834898529
"ENSG00000280739.7",8.82432734283181,8.79773321040178,8.78468137111797,9.04800501888122,8.74329664814236,8.61174453392108,8.37025758832233,8.35891079839357,8.44234923721259,8.71436668887299,8.79830206354303,8.20352798419515
"ENSG00000114784.4",10.3680027893623,10.3295955562776,10.4044393661323,10.4291829623192,10.2801041088963,10.4729503913781,10.4325083246161,10.3716675338822,10.3211461832293,10.3224586702978,10.2929009535373,10.1029999533203
"ENSG00000188846.14",12.6011832578786,12.6731242582691,12.5800219663375,12.6352936571913,12.5421402460078,12.7227733577155,11.9728299402766,12.0038797361415,12.2040254613505,12.0117964771998,12.0509221269074,12.2159015498167
"ENSG00000177873.15",7.94247491545319,8.44520457152359,8.14103281865556,7.97731945964705,8.3606417112829,8.32806991451283,8.41536206986575,8.04649873585178,7.6918903419036,8.46437521028427,8.38524764207836,8.06963232249337
"ENSG00000177842.13",8.19492555966799,8.27821221752848,8.13576943663956,8.03440264701376,8.17525925798509,8.05720606675112,8.4459567237554,7.78973840731994,8.11760057152391,8.09109963041269,8.1192647526624,8.17283828002721
"ENSG00000172888.12",8.3769192192253,8.38372297569655,8.38573116410633,8.66004032022889,8.97049188916276,8.17012172458283,9.02969044649856,8.64453467753693,8.30007231793064,9.28971115582412,9.43569961032998,8.90902833950514
"ENSG00000234287.1",7.37596757980138,7.37192501470072,7.30944324389281,7.43510820331655,7.3583328518117,7.54167060995967,7.43638667363722,7.55865858492961,7.24804023108376,7.31727115396434,7.59619482672152,7.68624692405
"ENSG00000168036.20",16.2445333414173,16.221709902478,16.277785986821,16.1199343555702,16.2913926923913,16.3021428783359,15.0001255426577,14.9182139675333,14.7967447256987,14.548281941543,14.5702733397983,14.1532993510264
"ENSG00000302700.1",7.25086305749106,7.39039867995756,7.53207293480381,7.51596678253129,7.21901209170085,7.41004237057658,7.09958490609107,7.41795985771268,7.35625789189103,7.1618737814268,6.938052845418,7.3001575843098
"ENSG00000168038.12",8.33276630315263,8.38372297569655,8.08722599108191,8.48141282559145,8.52893893213576,8.3903724012835,8.76064432244033,8.39368844388336,8.67229538357984,8.75522820109149,8.77261285893053,8.46047723462431
"ENSG00000303329.1",7.0604714997535,7.11565882603085,7.16642693065056,7.20032534166895,7.21901209170085,7.34068233612362,7.18260743128349,6.91871368763758,6.68453643212977,7.1036261146502,7.39530204606597,7.15140125731757
"ENSG00000182606.18",10.0631312703064,9.63769210818528,10.0214379781493,9.72818832572865,10.0034924313245,10.0853464020265,9.91050270832057,9.78429172805748,9.66626678848816,9.64864952550948,9.51051886958959,9.91761836742957
"ENSG00000114812.14",7.11046521903129,6.68453643212977,6.68453643212977,6.68453643212977,6.68453643212977,6.68453643212977,7.49514362800152,7.64284914658121,7.71269163791511,7.21354482860761,7.3016070513056,7.25509930667659
"ENSG00000093183.15",10.6327976306347,10.5806173931567,10.6589063720971,10.4974337646067,10.371630448162,10.8556095285185,10.2526490214596,10.3506854975773,10.576473852313,10.4108534485695,10.4287699196697,10.5911588772783
"ENSG00000008324.13",9.52395944474536,9.62054319771306,9.55478043385079,9.46970794739075,9.26213972536022,9.41182880173767,9.16733894060754,9.33871087191711,9.4081680007065,9.24337508457057,9.35659103656258,9.36551449537865
"ENSG00000289558.2",7.15504248965412,7.08388879405844,7.16642693065056,7.16242362907881,7.16312699687458,7.1289729747902,7.18260743128349,7.08926032010082,7.05476896730006,7.059643519961,7.33444616544775,6.9548629909605
"ENSG00000114857.20",8.7693076640643,8.50941548356823,8.94951211668759,9.25908729565537,9.12164337038821,8.5477677912824,9.37740109025452,9.25111833959579,9.06186479451397,9.30208009757902,9.32018867191962,9.04427357325065
"ENSG00000114853.16",7.11046521903129,7.11565882603085,7.1844411495355,7.42276302647638,7.33012651006836,7.41004237057658,7.21914737458732,7.17025336918379,7.08425180551285,7.31727115396434,7.46424158628174,7.11103107790734
"ENSG00000173811.11",7.13332538280296,7.145183184567,7.41224920699337,7.35735129073046,7.39841322488048,7.34068233612362,7.14304174214148,7.01535153436001,6.83602871467897,6.91464525210182,7.04260449675676,6.81984792870431
"ENSG00000181061.15",10.4597651938308,10.4781982970133,10.337049863354,10.2174622396435,10.1226731243433,10.4829551999389,9.61593171499325,9.76310915553363,10.5069307167918,9.85611799268865,9.69482847764222,10.0861235610052
"ENSG00000144647.8",10.0397203547962,10.3693116064753,10.3677210650972,10.2197779042066,10.1126984620647,10.1153494190847,10.5338114785309,10.4011160581576,10.6283168848848,10.5669030288891,10.3741100584045,10.724272111066
"ENSG00000163788.15",8.84768476337755,8.77489506925997,8.65164438553453,8.57004290308405,8.56860447806404,8.66889928970383,8.69522475576065,8.80521840357231,8.76727578106371,8.75522820109149,8.71577807260919,8.7614588951589
"ENSG00000160746.14",10.4556255349771,10.3473839421531,10.3148755248313,10.2551966133513,10.2966892184893,10.5405982237898,10.3427554765939,10.2538592831607,10.6303935280745,10.6535868915907,10.6110220161561,10.8041597148865
"ENSG00000011198.11",9.14284960415124,8.90627432201583,9.28651890696624,9.11102357360395,9.03737376343929,9.28221766737044,8.59988016231441,8.85065776147075,8.88878473587232,9.09165694314872,9.06385771078838,9.07478687644496
"ENSG00000272121.2",7.19562350851378,7.145183184567,7.32326518907679,6.82306892358683,6.99428849988607,7.3106282395762,7.05085356044576,6.91871368763758,7.16164015188798,7.24524757034213,7.2485474216153,7.75137832303513
"ENSG00000179152.21",9.4306382137267,9.47516551480476,9.16487410396396,9.19070851075188,9.2271751363789,9.12064555114928,8.85762936223669,8.99167048576027,8.94207836834554,9.33452769340452,9.40135761627925,9.11685978687248
"ENSG00000185219.19",8.42413133731699,8.17727638342032,8.62048243099319,8.63444925976102,8.46269317621847,7.79453584805356,8.72662936128757,8.64802456874231,8.51737897659815,8.47215264011719,8.40531343947232,8.11973244133111
"ENSG00000297106.1",7.21470608461286,7.01095162427127,6.95269934409243,7.21822834096537,6.96169315334731,6.88392264043348,6.96176388872406,6.87581121471493,7.18470175351004,7.22963758433903,7.14601775044436,7.11103107790734
"ENSG00000178917.19",8.01141995612064,7.93305066395213,8.1251666202508,8.17322579958656,8.00490819091842,7.92379444630183,7.93267514122066,7.98043296196612,7.50362950925455,8.22783640459807,8.30682680991514,7.80475874931522
"ENSG00000236869.5",7.53875144226749,7.27021565168877,7.2505775120596,7.35735129073046,7.4112451116504,7.15048301824946,7.1632484055843,7.04172791869165,6.68453643212977,7.22963758433903,7.18963817383318,6.9548629909605
"ENSG00000214820.3",6.93104061942052,6.91559243064611,6.91685569992029,7.02322246104729,6.96169315334731,6.88392264043348,7.05085356044576,7.17025336918379,7.16164015188798,7.059643519961,7.2485474216153,7.17029005812104
"ENSG00000186448.16",9.89202062212986,9.91310883614979,9.86019069508704,9.57050912146036,9.83578332339767,9.92054202859834,9.33221590111463,9.46893401218741,8.79484333287189,8.93683409448527,8.78735478787531,8.74541242665653
"ENSG00000169981.12",8.4470601482729,8.29193277190658,8.41508131770519,8.55832445544982,8.52490158384999,7.95879919051606,8.21831686017013,8.03479146862459,7.89823865253333,7.61794024236068,7.95402004134639,7.6339814081389
"ENSG00000196653.13",6.68453643212977,6.68453643212977,7.37562109585621,6.88037583964404,6.88066627135222,6.68453643212977,6.82331001633837,6.81983761983367,6.68453643212977,7.31727115396434,7.47724782995838,6.9548629909605
"ENSG00000186446.13",6.93104061942052,7.50731552765681,7.26588446234626,7.09886820728333,7.09947940611179,7.2095803629687,7.26951429740237,7.50768378480672,7.08425180551285,7.08225856676677,7.49002374375017,7.18844585779044
"ENSG00000163807.7",9.24975600792806,9.44472683326584,9.17639411275401,9.05069078866862,9.16435373459564,9.00203052605575,9.28775216107688,9.48205132593879,9.09020457975356,9.6064881877587,9.49760593264394,9.24463922156536
"ENSG00000163808.18",8.99163003673266,8.96335371190597,8.68205738417316,8.95042250709234,8.92099139682218,8.96991539952001,9.46752255649202,9.5440550009188,9.07453422383754,9.33051352065184,9.12484674301536,8.5653264869118
"ENSG00000169964.9",7.86077503020455,7.98842097635702,7.9072217300742,7.70049388266412,7.60013517201277,7.82654704059,8.1480676104826,7.9866147556324,7.77233250819767,7.946946017996,7.78349293444809,7.89654662322318
"ENSG00000163812.17",10.643742473641,10.6418418646298,10.6967211215421,10.7028259353071,10.7189324651762,10.7127057261023,10.7212210430939,10.7615602816736,11.0860373496635,10.7835005439512,10.7307602057535,11.2621460438051
"ENSG00000075914.14",10.4399939886923,10.3561955373805,10.1818717423115,10.4311789665277,10.5068511004866,10.3514582039851,10.401171316834,10.3170764556685,10.3841582917376,10.4385321395981,10.3891218554193,10.4537647383348
