"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000279901.1",11.0375644137092,22.4738986825776,31.1854791685963,25.6269914768882,16.1834806188546,18.6939847500778,46.6703892808878,28.0659727202824,24.9746617453592,27.0971973871673,21.2292699960106,21.7318086381439
"ENSG00000172382.11",17.0580540939142,22.4738986825776,12.4741916674385,11.3897739897281,7.61575558534332,15.7423029474339,30.478621571192,41.6462821010642,4.54084759006531,27.9713005286888,7.43024449860369,8.14942823930398
"ENSG00000205913.8",6.02048968020502,21.151904642426,13.3652053579698,17.0846609845922,20.9433278596941,20.661772618507,17.1442246337955,1.81070791743758,39.7324164130714,20.1043722549951,29.7209779944148,22.6373006647333
"ENSG00000167978.19",3659.45431061795,3583.92584285105,4535.25968480443,4643.23119647916,4454.26504797768,4308.47153792583,8260.65890271714,7343.32595916809,7842.04378804278,5995.47344769614,5996.20731037318,6917.95908314249
"ENSG00000103363.17",4030.71784089726,4888.7339604807,4897.01124316015,5205.12671330574,4531.37457327928,5384.85150195662,3545.04467149927,3738.20649554987,3968.70079371708,3328.58476291397,4184.28911621368,5608.61761269431
"ENSG00000276791.1",29.0990334543243,22.4738986825776,27.621424406471,11.3897739897281,17.1354500670225,20.661772618507,25.7163369506933,13.5803093807818,34.0563569254898,74.2987670293296,36.0897589932179,15.3933644520186
"ENSG00000103355.15",521.775772284435,664.963002196266,327.002024424996,574.234438648792,711.121177781433,431.929437120219,177.156987882554,158.436942775788,19.2986022577776,102.270067558018,163.465378969281,24.4482847179119
"ENSG00000162078.13",6.02048968020502,0,1.78202738106265,10.4406261572508,6.66378613717541,15.7423029474339,0,3.62141583487515,0,7.86692827369373,3.18439049940158,15.3933644520186
"ENSG00000005001.11",0,0,0,0,0,0,4.76228462049875,1.81070791743758,4.54084759006531,38.4605382269471,45.6429304914227,62.4789498346638
"ENSG00000263325.2",0,0,0,0,0,0,0,3.62141583487515,0,17.4820628304305,24.4136604954121,18.1098405317866
"ENSG00000162076.14",640.178735995134,699.334847240209,747.56048635578,736.538718002418,683.514063784563,795.970192779629,677.196873034923,676.299407162934,626.636967429012,577.782176545728,643.24688087912,501.642582730489
"ENSG00000059122.18",1228.17989476182,1500.46323557209,1705.40020367695,1238.63792138293,1294.67844950836,1641.13508226999,2612.58934280562,2241.65640178772,1583.62059703528,2174.76861610555,2715.22363248975,1907.87170002372
"ENSG00000131650.16",416.417202880847,460.053925972765,529.262132175606,505.895794710423,474.080785187622,513.592633660032,530.518506723561,391.112910166516,240.664922273461,376.738453995777,378.942469428788,238.144402992994
