"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
8815.41184259298,0.714665346629698,0.125307749477314,5.7032813182802,1.17522783167346e-08,3.4045446262171e-06,"ENSG00000134871.21"
2174.95966725419,-1.23999364790061,0.2197486435616,-5.64278180653713,1.67324344784926e-08,4.75579986762288e-06,"ENSG00000114268.13"
561.979621795584,0.890172461586884,0.157957669483907,5.63551275791378,1.74538221492462e-08,4.8689699417823e-06,"ENSG00000170962.14"
1278.45939827709,-1.25432733803501,0.222828662288543,-5.6291112873566,1.81140502086773e-08,4.96127367897301e-06,"ENSG00000042753.13"
245.018340700058,1.05254412020245,0.187281641919565,5.62011369301485,1.90831835773009e-08,5.13337638229393e-06,"ENSG00000153094.26"
3161.15450660437,-0.979543875038524,0.175065327184847,-5.59530485442299,2.20234440992256e-08,5.82037126159183e-06,"ENSG00000115216.15"
106.10322627602,-2.25271726062541,0.403746594455842,-5.57953253738663,2.41165831704439e-08,6.26365877378565e-06,"ENSG00000128564.9"
419.24414144797,1.0515700569941,0.189351277157252,5.55354087271771,2.79940170362684e-08,7.14748936668385e-06,"ENSG00000145349.21"
359.743775467514,1.20314217055813,0.217789655285518,5.52433112114912,3.30743189337774e-08,8.16773017079382e-06,"ENSG00000116678.20"
168.690047332496,-1.88277844904912,0.340700836841274,-5.52619261668051,3.27254837348072e-08,8.16773017079382e-06,"ENSG00000164647.10"
3557.66555783995,0.667090823515378,0.12120855476008,5.50366122948843,3.71984024165678e-08,9.03801183876093e-06,"ENSG00000134243.13"
36.6049095555174,-4.19112783239992,0.763907002633181,-5.48643724688101,4.10121020385239e-08,9.80644928743372e-06,"ENSG00000234155.2"
965.015680815349,1.00784852149795,0.184062526983888,5.47557690320187,4.36088518886648e-08,1.02644335132945e-05,"ENSG00000141401.13"
440.961454372338,-1.47611318271119,0.270629524347073,-5.45436861064029,4.9147158381493e-08,1.13900429824432e-05,"ENSG00000102096.10"
2788.29704746873,0.739794474091522,0.136876650249399,5.40482597100065,6.48713466069685e-08,1.4806393413445e-05,"ENSG00000131669.11"
17.7810230704187,-3.85386539550888,0.716650145339806,-5.37761056851742,7.54808593274499e-08,1.69708009687866e-05,"ENSG00000135346.9"
6012.29931396396,0.859895380606959,0.162307749771733,5.29793174889249,1.17121725465788e-07,2.59459069473033e-05,"ENSG00000060138.14"
8988.18215461186,0.591510766478722,0.111882764810027,5.2868801328166,1.24420109817102e-07,2.67752076326405e-05,"ENSG00000075785.15"
1120.07307645924,0.933310057813826,0.176486285337182,5.28828659989479,1.23467420619445e-07,2.67752076326405e-05,"ENSG00000107789.16"
